an0,an1,an2,an3,an4,an5,an6,an7,an8,an9,an10,an11,an12,an13,an14,an15,an16,an17,an18,an19,an20,an21,an22,an23,an24,an25,an26,an27,an28,an29,an30,an31,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,class
0.3727572,0.2769908,0.0999204,0.1806096,0.506946,0.5233354,0.4831206,-0.139032,0.1385602,-0.3661306,0.2039498,-0.386497,0.2640142,0.0581134,-0.2555632,-0.3076926,-0.0157236,0.3261074,0.0890912,-0.321924,-0.3766122,-0.0308806,-0.2216852,0.0935444,0.413608,-0.3395788,0.2857388,0.373369,0.1128548,-0.2930754,-0.4077274,-0.1711782,0.310776,0.254849,0.134186,0.11567,0.453783,0.494451,0.410381,-0.191728,0.122089,-0.297609,0.222474,-0.26333,0.238094,0.031527,-0.263432,-0.309437,-0.044017,0.2589,0.084485,-0.264514,-0.349085,-0.064576,-0.218268,0.076899,0.341087,-0.29852,0.219233,0.387155,0.057225,-0.310343,-0.351103,-0.197433,True
0.2062102,-0.7335202,0.6731084,-0.0656214,0.223903,-0.1595936,0.3123306,-0.17612,-0.0482668,-0.1782356,0.2453698,-1.029399,-0.0541278,-0.0684366,0.0255898,-0.3864036,0.0139744,0.1262134,-0.2249008,-0.176429,-0.2257142,-0.1116466,-0.3406972,0.1957994,0.568025,-0.5137938,0.2588338,-0.046822,0.2662478,-0.3498584,-0.1620914,-0.0196272,0.144229,-0.755662,0.707374,-0.130561,0.17074,-0.188478,0.239591,-0.228816,-0.064738,-0.109714,0.263894,-0.906232,-0.080048,-0.095023,0.017721,-0.388148,-0.014319,0.059006,-0.229507,-0.119019,-0.198187,-0.145342,-0.33728,0.179154,0.495504,-0.472735,0.192328,-0.033036,0.210618,-0.367126,-0.105467,-0.045882,True
0.3272952,-0.8510082,0.3434214,-0.3279944,0.049241,-0.0387206,-0.1885244,0.010594,0.0029142,-0.0727146,0.1590538,-0.673916,0.2229022,0.0018804,0.3876388,-0.3902156,-0.0682906,0.1113084,-0.6228118,-0.051576,0.4835868,0.4779434,0.0495328,0.2192564,0.924779,-0.5587198,0.7941058,0.044387,0.0703768,-0.3704874,0.0532236,0.0401028,0.265314,-0.87315,0.377687,-0.392934,-0.003922,-0.067605,-0.261264,-0.042102,-0.013557,-0.004193,0.177578,-0.550749,0.196982,-0.024706,0.37977,-0.39196,-0.096584,0.044101,-0.627418,0.005834,0.511114,0.444248,0.05295,0.202611,0.852258,-0.517661,0.7276,0.058173,0.014747,-0.387755,0.109848,0.013848,True
0.2000442,-0.3405632,-0.3265496,0.0932516,0.083114,-0.5408206,0.1317076,-0.082531,-0.0410288,0.1134164,-0.0696872,-0.268684,1.1121482,0.0816314,-0.6566022,-0.5192616,0.5076754,-0.0305736,0.4397362,0.741495,0.1966618,-0.2068376,-0.0733042,-0.0351606,0.052024,0.0294342,0.0878558,-0.319484,0.3711988,-0.6274814,-0.5809494,0.0703258,0.138063,-0.362705,-0.292284,0.028312,0.029951,-0.569705,0.058968,-0.135227,-0.0575,0.181938,-0.051163,-0.145517,1.086228,0.055045,-0.664471,-0.521006,0.479382,-0.097781,0.43513,0.798905,0.224189,-0.240533,-0.069887,-0.051806,-0.020497,0.070493,0.02135,-0.305698,0.315569,-0.644749,-0.524325,0.044071,True
0.1145042,-0.1522562,0.1351704,0.0370626,0.43101,-0.0285126,0.3277736,-0.081267,-0.3424368,-0.2524626,-0.0815722,-0.69749,-0.0254588,-0.3480326,-0.2036032,-0.7059116,-0.0202096,0.1405094,-0.1803908,0.194516,-0.1317022,-0.0391856,-0.1578512,0.4107354,0.392817,-0.3487838,0.1502768,0.095369,0.1893788,-0.7049814,0.0796656,-0.0921982,0.052523,-0.174398,0.169436,-0.027877,0.377847,-0.057397,0.255034,-0.133963,-0.358908,-0.183941,-0.063048,-0.574323,-0.051379,-0.374619,-0.211472,-0.707656,-0.048503,0.073302,-0.184997,0.251926,-0.104175,-0.072881,-0.154434,0.39409,0.320296,-0.307725,0.083771,0.109155,0.133749,-0.722249,0.13629,-0.118453,True
0.2551512,0.1682028,-0.1669996,-0.1496874,-0.015284,-0.1771906,0.5016966,-0.149218,-0.5406568,-0.1873256,0.1642228,-0.324069,0.0866492,0.1230444,-0.0283082,-0.6626966,0.1191474,0.0604514,0.0957912,-0.083898,0.2266548,-0.1322716,0.1615628,-0.1222306,0.602056,-0.2897748,-0.0907862,0.029724,-0.0891342,-0.0716644,0.0497886,-0.3161592,0.19317,0.146061,-0.132734,-0.214627,-0.068447,-0.206075,0.428957,-0.201914,-0.557128,-0.118804,0.182747,-0.200902,0.060729,0.096458,-0.036177,-0.664441,0.090854,-0.006756,0.091185,-0.026488,0.254182,-0.165967,0.16498,-0.138876,0.529535,-0.248716,-0.157292,0.04351,-0.144764,-0.088932,0.106413,-0.342414,True
0.0089652,0.2191988,-0.1551136,0.5357906,0.384029,0.5421494,0.1969516,0.153851,0.0004532,-0.5018766,0.3621058,-0.023675,-0.1487418,0.0791744,0.0857098,-0.3336196,-0.1284376,-0.6205566,-0.4227488,-0.314606,-0.0085872,0.5112794,-0.1588912,0.0999034,0.05824,-0.4506688,-0.2430942,-0.319044,-0.1725452,-0.1722384,0.1727956,0.1825738,-0.053016,0.197057,-0.120848,0.470851,0.330866,0.513265,0.124212,0.101155,-0.016018,-0.433355,0.38063,0.099492,-0.174662,0.052588,0.077841,-0.335364,-0.156731,-0.687764,-0.427355,-0.257196,0.01894,0.477584,-0.155474,0.083258,-0.014281,-0.40961,-0.3096,-0.305258,-0.228175,-0.189506,0.22942,0.156319,True
0.4400812,-0.0712072,0.0978554,0.4797636,-0.097675,0.1990314,0.5005076,0.291503,-0.3078478,0.3168504,0.2167458,0.260363,0.3941232,0.2946184,0.5213228,0.0706384,-0.2993496,0.0024634,0.1429652,-0.269449,-0.1204462,0.2773194,0.3711628,-0.2003986,-0.076924,-0.2494508,-0.0859562,-0.316491,-0.0418802,-0.5998424,0.2127406,0.3858068,0.3781,-0.093349,0.132121,0.414824,-0.150838,0.170147,0.427768,0.238807,-0.324319,0.385372,0.23527,0.38353,0.368203,0.268032,0.513454,0.068894,-0.327643,-0.064744,0.138359,-0.212039,-0.092919,0.243624,0.37458,-0.217044,-0.149445,-0.208392,-0.152462,-0.302705,-0.09751,-0.61711,0.269365,0.359552,True
0.3045332,-0.0288722,0.0345994,-0.1526344,0.28036,0.1806974,0.7697726,-0.288763,0.0052432,-0.2664556,0.2721238,-0.399909,0.3013202,0.0117504,-0.3795562,-0.5183126,-0.1300156,0.0610114,0.1723662,-0.158147,-0.1700952,-0.0822756,-0.1417132,0.0309574,0.476967,-0.2641768,0.0892078,0.129344,0.0546498,-0.3338514,-0.1402364,-0.1503552,0.242552,-0.051014,0.068865,-0.217574,0.227197,0.151813,0.697033,-0.341459,-0.011228,-0.197934,0.290648,-0.276742,0.2754,-0.014836,-0.387425,-0.520057,-0.158309,-0.006196,0.16776,-0.100737,-0.142568,-0.115971,-0.138296,0.014312,0.404446,-0.223118,0.022702,0.14313,-0.00098,-0.351119,-0.083612,-0.17661,True
0.6170042,0.4031868,-0.5758526,0.2932596,-0.038646,-0.0177746,0.3568296,0.225831,-0.4826698,0.0596124,0.2426838,0.20218,0.2774042,0.4062114,-0.2209962,-0.4367866,-0.3791596,0.0261744,0.2479112,-0.307539,0.0879478,-0.1388726,0.0167078,0.1018814,0.484234,-0.0309238,0.0209398,0.166364,-0.0723502,-0.2785034,0.0150896,-0.1369292,0.555023,0.381045,-0.541587,0.22832,-0.091809,-0.046659,0.28409,0.173135,-0.499141,0.128134,0.261208,0.325347,0.251484,0.379625,-0.228865,-0.438531,-0.407453,-0.041033,0.243305,-0.250129,0.115475,-0.172568,0.020125,0.085236,0.411713,0.010135,-0.045566,0.18015,-0.12798,-0.295771,0.071714,-0.163184,True
