an0,an1,an2,an3,an4,an5,an6,an7,an8,an9,an10,an11,an12,an13,an14,an15,an16,an17,an18,an19,an20,an21,an22,an23,an24,an25,an26,an27,an28,an29,an30,an31,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,class
0.504145,-0.614878,0.350092,0.149915,0.581406,0.354492,0.396793,0.261114,0.000524,-0.53112,0.090616,-1.325026,-0.019086,-0.141645,0.004613,-0.631935,-0.051313,0.122695,-0.452137,-0.139256,-0.366477,0.370076,-0.570442,0.468856,0.871324,-0.675931,0.55142,-0.114062,0.473963,-0.538296,-0.155082,-0.024048,0.194239,-0.725587,0.52142,-0.174783,0.315591,0.21007,0.033095,-0.002366,-0.081832,-0.188512,0.183237,-0.709191,-0.148687,-0.274577,-0.034731,-0.640657,-0.19278,-0.213342,-0.475168,0.147794,-0.228841,0.201599,-0.553356,0.385629,0.508719,-0.470637,0.218891,-0.045132,0.195814,-0.624634,0.12804,-0.155322,True
0.794159,-0.000409,-0.11577,0.742041,0.413035,0.706777,0.522182,0.191486,-0.136988,-0.320369,-0.035529,-0.762655,0.469733,0.520174,-0.152467,-0.325313,-0.36687,0.409983,-0.107463,-0.520343,-0.439749,0.198725,-0.256736,0.668353,0.497513,-0.75451,0.446326,0.408757,0.243517,-0.341913,-0.08141,0.045387,0.484253,-0.111118,0.055558,0.417343,0.14722,0.562355,0.158484,-0.071994,-0.219344,0.022239,0.057092,-0.14682,0.340132,0.387242,-0.191811,-0.334035,-0.508337,0.073946,-0.130494,-0.233293,-0.302113,0.030248,-0.23965,0.585126,0.134908,-0.549216,0.113797,0.477687,-0.034632,-0.428251,0.201712,-0.085887,True
0.554138,0.134099,-0.029851,-0.047179,0.238661,-0.195506,0.526034,0.077588,-0.329601,-0.634078,-0.137304,-0.580285,0.433195,0.204642,-0.335258,-0.489189,0.300422,0.447154,0.438991,-0.362576,0.015998,0.439051,0.01046,-0.437487,0.470354,-0.493118,0.208831,-0.486808,0.168676,0.287604,-0.113672,-0.452956,0.244232,0.02339,0.141477,-0.371877,-0.027154,-0.339928,0.162336,-0.185892,-0.411957,-0.29147,-0.044683,0.03555,0.303594,0.07171,-0.374602,-0.497911,0.158955,0.111117,0.41596,-0.075526,0.153634,0.270574,0.027546,-0.520714,0.107749,-0.287824,-0.123698,-0.417878,-0.109473,0.201266,0.16945,-0.58423,True
0.620682,0.365558,-0.037142,0.440368,0.719598,0.638873,0.774079,0.071752,0.204445,-0.640217,0.129853,-0.879165,0.367695,0.164459,-0.224088,-0.300715,0.09745,0.594937,0.107516,-0.551564,-0.486721,0.103901,-0.235354,0.160126,0.703692,-0.503814,0.551762,0.318225,0.335374,-0.224005,-0.634225,-0.066159,0.310776,0.254849,0.134186,0.11567,0.453783,0.494451,0.410381,-0.191728,0.122089,-0.297609,0.222474,-0.26333,0.238094,0.031527,-0.263432,-0.309437,-0.044017,0.2589,0.084485,-0.264514,-0.349085,-0.064576,-0.218268,0.076899,0.341087,-0.29852,0.219233,0.387155,0.057225,-0.310343,-0.351103,-0.197433,True
0.454135,-0.644953,0.536046,0.194137,0.436555,-0.044056,0.603289,0.034664,0.017618,-0.452322,0.171273,-1.522067,0.049553,0.037909,0.057065,-0.379426,0.127148,0.395043,-0.206476,-0.406069,-0.335823,0.023135,-0.354366,0.262381,0.858109,-0.678029,0.524857,-0.101966,0.488767,-0.280788,-0.388589,0.085392,0.144229,-0.755662,0.707374,-0.130561,0.17074,-0.188478,0.239591,-0.228816,-0.064738,-0.109714,0.263894,-0.906232,-0.080048,-0.095023,0.017721,-0.388148,-0.014319,0.059006,-0.229507,-0.119019,-0.198187,-0.145342,-0.33728,0.179154,0.495504,-0.472735,0.192328,-0.033036,0.210618,-0.367126,-0.105467,-0.045882,True
0.57522,-0.762441,0.206359,-0.068236,0.261893,0.076817,0.102434,0.221378,0.068799,-0.346801,0.084957,-1.166584,0.326583,0.108226,0.419114,-0.383238,0.044883,0.380138,-0.604387,-0.281216,0.373478,0.612725,0.035864,0.285838,1.214863,-0.722955,1.060129,-0.010757,0.292896,-0.301417,-0.173274,0.145122,0.265314,-0.87315,0.377687,-0.392934,-0.003922,-0.067605,-0.261264,-0.042102,-0.013557,-0.004193,0.177578,-0.550749,0.196982,-0.024706,0.37977,-0.39196,-0.096584,0.044101,-0.627418,0.005834,0.511114,0.444248,0.05295,0.202611,0.852258,-0.517661,0.7276,0.058173,0.014747,-0.387755,0.109848,0.013848,True
0.447969,-0.251996,-0.463612,0.35301,0.295766,-0.425283,0.422666,0.128253,0.024856,-0.16067,-0.143784,-0.761352,1.215829,0.187977,-0.625127,-0.512284,0.620849,0.238256,0.458161,0.511855,0.086553,-0.072056,-0.086973,0.031421,0.342108,-0.134801,0.353879,-0.374628,0.593718,-0.558411,-0.807447,0.175345,0.138063,-0.362705,-0.292284,0.028312,0.029951,-0.569705,0.058968,-0.135227,-0.0575,0.181938,-0.051163,-0.145517,1.086228,0.055045,-0.664471,-0.521006,0.479382,-0.097781,0.43513,0.798905,0.224189,-0.240533,-0.069887,-0.051806,-0.020497,0.070493,0.02135,-0.305698,0.315569,-0.644749,-0.524325,0.044071,True
0.362429,-0.063689,-0.001892,0.296821,0.643662,0.087025,0.618732,0.129517,-0.276552,-0.526549,-0.155669,-1.190158,0.078222,-0.241687,-0.172128,-0.698934,0.092964,0.409339,-0.161966,-0.035124,-0.241811,0.095596,-0.17152,0.477317,0.682901,-0.513019,0.4163,0.040225,0.411898,-0.635911,-0.146832,0.012821,0.052523,-0.174398,0.169436,-0.027877,0.377847,-0.057397,0.255034,-0.133963,-0.358908,-0.183941,-0.063048,-0.574323,-0.051379,-0.374619,-0.211472,-0.707656,-0.048503,0.073302,-0.184997,0.251926,-0.104175,-0.072881,-0.154434,0.39409,0.320296,-0.307725,0.083771,0.109155,0.133749,-0.722249,0.13629,-0.118453,True
0.503076,0.25677,-0.304062,0.110071,0.197368,-0.061653,0.792655,0.061566,-0.474772,-0.461412,0.090126,-0.816737,0.19033,0.22939,0.003167,-0.655719,0.232321,0.329281,0.114216,-0.313538,0.116546,0.00251,0.147894,-0.055649,0.89214,-0.45401,0.175237,-0.02542,0.133385,-0.002594,-0.176709,-0.21114,0.19317,0.146061,-0.132734,-0.214627,-0.068447,-0.206075,0.428957,-0.201914,-0.557128,-0.118804,0.182747,-0.200902,0.060729,0.096458,-0.036177,-0.664441,0.090854,-0.006756,0.091185,-0.026488,0.254182,-0.165967,0.16498,-0.138876,0.529535,-0.248716,-0.157292,0.04351,-0.144764,-0.088932,0.106413,-0.342414,True
0.25689,0.307766,-0.292176,0.795549,0.596681,0.657687,0.48791,0.364635,0.066338,-0.775963,0.288009,-0.516343,-0.045061,0.18552,0.117185,-0.326642,-0.015264,-0.351727,-0.404324,-0.544246,-0.118696,0.646061,-0.17256,0.166485,0.348324,-0.614904,0.022929,-0.374188,0.049974,-0.103168,-0.053702,0.287593,-0.053016,0.197057,-0.120848,0.470851,0.330866,0.513265,0.124212,0.101155,-0.016018,-0.433355,0.38063,0.099492,-0.174662,0.052588,0.077841,-0.335364,-0.156731,-0.687764,-0.427355,-0.257196,0.01894,0.477584,-0.155474,0.083258,-0.014281,-0.40961,-0.3096,-0.305258,-0.228175,-0.189506,0.22942,0.156319,True
